date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:14:55	1151/1151	---M--	200	added ('OK')	image/png	etag:%225f05ce5f-4af%22	https://colorlib.com/polygon/gentelella/images/visa.png	D:/demo/colorlib.com/polygon/gentelella/images/visa.png	(from https://colorlib.com/polygon/gentelella/invoice.html)
18:14:55	266963/266963	---M--	200	added ('OK')	image/jpeg	etag:%225f05ce60-46f08%22	https://colorlib.com/polygon/gentelella/images/media.jpg	D:/demo/colorlib.com/polygon/gentelella/images/media.jpg	(from https://colorlib.com/polygon/gentelella/media_gallery.html)
18:14:55	1988/1988	---M--	200	added ('OK')	image/png	etag:%225f05ce61-7c4%22	https://colorlib.com/polygon/gentelella/images/mastercard.png	D:/demo/colorlib.com/polygon/gentelella/images/mastercard.png	(from https://colorlib.com/polygon/gentelella/invoice.html)
18:14:56	2796/2796	---M--	200	added ('OK')	image/png	etag:%225f05ce5e-aec%22	https://colorlib.com/polygon/gentelella/images/american-express.png	D:/demo/colorlib.com/polygon/gentelella/images/american-express.png	(from https://colorlib.com/polygon/gentelella/invoice.html)
18:14:56	1321/1321	---M--	200	added ('OK')	image/png	etag:%225f05ce61-588%22	https://colorlib.com/polygon/gentelella/images/paypal.png	D:/demo/colorlib.com/polygon/gentelella/images/paypal.png	(from https://colorlib.com/polygon/gentelella/invoice.html)
18:14:57	15251/15251	---MCZ	200	added ('OK')	text/css	etag:W/%225f0811ee-3b93%22	https://colorlib.com/polygon/vendors/fullcalendar/dist/fullcalendar.min.css	D:/demo/colorlib.com/polygon/vendors/fullcalendar/dist/fullcalendar.min.css	(from https://colorlib.com/polygon/gentelella/calendar.html)
18:14:57	21848/21848	---M--	200	added ('OK')	image/png	etag:%225f05ce5e-5612%22	https://colorlib.com/polygon/gentelella/images/inbox.png	D:/demo/colorlib.com/polygon/gentelella/images/inbox.png	(from https://colorlib.com/polygon/gentelella/inbox.html)
18:14:57	1932/1932	---MCZ	200	added ('OK')	text/css	etag:W/%225f0811be-15a9%22	https://colorlib.com/polygon/vendors/fullcalendar/dist/fullcalendar.print.css	D:/demo/colorlib.com/polygon/vendors/fullcalendar/dist/fullcalendar.print.css	(from https://colorlib.com/polygon/gentelella/calendar.html)
18:14:58	131347/131347	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f0811da-20113%22	https://colorlib.com/polygon/vendors/fullcalendar/dist/fullcalendar.min.js	D:/demo/colorlib.com/polygon/vendors/fullcalendar/dist/fullcalendar.min.js	(from https://colorlib.com/polygon/gentelella/calendar.html)
18:14:58	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Apr%202021%2011:14:58%20GMT	https://colorlib.com/polygon/gentelella/cdn.datatables.net/1.10.20/css/jquery.dataTables.min.css	D:/demo/colorlib.com/polygon/gentelella/cdn.datatables.net/1.10.20/css/jquery.dataTables.min.css	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
